id,gameNm,platform,genre,release_dt,price,rating,sales_m
28676,Wild Warfare: Reborn,pc,Adventure,31/03/2012,71.32,8.1,1.361
20841,Mystic Requiem Online,iOS/Android,Shooter,2014-06-28,51.33,7.1,2.088
34398,Ancient Dynasty,XBOX,Strategy,04-26-2022,3.35,6.1,0.439
17778,Eternal Nexus II,switch,Sports,01-07-2018,52.91,5.9,0.472
8043,Eternal Empire II,Mobile ,Sports,14/12/2020,59.26,5.8,0.578
23649,crimson saga: reborn,PC,RPG,2022-01-09,27.47,6.4,0.334
5914,GOLDEN LEGENDS III,Xbox,Adventure,2020/11/08,71.74,10.0,0.45
6957,Steel Dominion II,Pc,Strategy,04-28-2008,31.61,5.2,1.139
48026,Dark Odyssey: Remastered,Playstation ,Racing,09/08/2022,9.76,6.8,1.457
80,CRIMSON DYNASTY III,PlayStation,Strategy,11/12/2015,5.34,6.5,0.079
48032,Hidden Empire Online,playstation,Racing,2015-10-31,61.09,5.2,0.237
33958,Final Dominion,Mobile,Strategy,2021-09-23,25.4,9.2,1.816
44268,Lost Vortex III,Mobile ,Strategy,2007-05-18,37.53,7.5,2.151
28077,Golden Requiem: Remastered,Pc,Racing,12-14-2023,49.72,7.6,2.004
42547,Eternal Rebellion,Xbox,Racing,2006-12-13,51.08,5.9,1.47
39972,Wild Saga,Switch,Puzzle,08-22-2013,8.67,6.8,0.77
16953,Neon Chronicles,switch,RPG,2021-07-26,27.02,9.1,0.32
14966,Ancient Quest,Mobile ,Adventure,13/12/2009,28.47,5.1,1.632
44458,Neon Requiem II,xbox,Shooter,10.01.2021,19.57,7.0,0.788
33293,Ancient Uprising: Origins,iOS/Android,Sports,2005/05/10,9.39,7.3,1.4
44145,Neon Realm,P.C.,Simulation,02-28-2007,26.86,,0.421
5270,Dark Dominion,switch,Puzzle,27/05/2007,48.94,5.6,0.092
18650,Iron Uprising,XBOX,Puzzle,2009-07-31,39.64,4.8,0.68
17247,Eternal Storm III,Mobile,Puzzle,02-28-2023,57.79,6.2,0.125
38164,Shadow Frontier: Origins,Mobile,Adventure,04-26-2024,14.35,6.5,0.14
47816,Golden Vortex,Xbox,Adventure,07.06.2015,60.16,8.0,0.844
36397,Iron Odyssey HD,PlayStation,Puzzle,31.05.2018,65.47,6.7,1.013
489,Broken Nexus: Origins,SWITCH,MOBA,2022-10-23,41.05,7.2,0.057
9127,Wild Horizon,Playstation ,Puzzle,02/09/2016,4.41,5.7,0.33
33037,Iron Frontier HD,XBOX,Simulation,2024/04/23,51.52,5.4,0.331
36870,Silent Horizon,Mobile,Simulation,2016/04/01,72.12,8.9,1.071
10444,Lost Empire: Remastered,,Strategy,18.11.2012,52.11,6.0,0.124
26990,neon uprising,Xbox,Sports,2009-11-30,62.09,8.5,0.582
8230,broken saga: remastered,PlayStation,RPG,2023-11-28,23.83,1.6,0.278
16613,Broken Vortex: Origins,Pc,Sports,2013-10-14,36.0,7.3,1.544
15004,Rogue Saga,XBOX,Adventure,11.09.2017,29.88,4.9,0.134
21352,Crimson Odyssey,P.C.,Adventure,05/05/2019,7.94,6.2,2.087
21823,Ancient Legends Online,Nintendo Switch,MOBA,16.09.2023,56.33,7.8,0.046
44902,lost odyssey,PC ,Adventure,2019-06-25,,6.2,1.514
45700,Rogue Uprising,mobile,,11-06-2005,43.08,7.1,0.019
35838,Hidden Horizon,PC,Shooter,2011-03-25,17.33,5.3,1.093
43755,Frozen Rebellion III,Nintendo Switch,Action,2012-11-20,10.3,4.5,1.038
37627,Eternal Empire II,PC,Strategy,19.12.2019,32.77,8.7,0.979
36691,crimson dynasty iii,switch,Puzzle,27.11.2015,68.4,7.1,0.288
23822,Eternal Uprising HD,PS,Action,06-16-2020,55.84,7.9,2.508
22010,Silent Storm,PC ,Sports,,16.05,7.8,0.3
6196,frozen warfare iii,Playstation ,MOBA,10-27-2019,11.27,5.1,0.678
1180,Steel Storm,Xbox,Sports,22.02.2024,39.5,7.3,0.267
3875,Shadow Rebellion,xbox,MOBA,06-24-2005,8.78,8.3,0.367
24398,Steel Kingdom II,PS,Simulation,05.12.2023,19.0,6.3,0.21
28543,Frozen Requiem Online,P.C.,Adventure,02-20-2022,11.33,6.8,1.019
13529,Rising Storm: Origins,P.C.,Sports,06-11-2012,27.31,6.3,0.052
23101,CRIMSON VORTEX ONLINE,Mobile ,Racing,09-24-2010,70.09,6.8,0.485
45797,Frozen Warfare III,PC,Action,03-09-2020,9.8,5.7,0.981
3671,Lost Quest,pc,RPG,08-09-2008,59.76,8.7,2.101
18319,Ancient Kingdom II,iOS/Android,Strategy,21/12/2021,20.62,9.4,0.145
30362,steel dominion: remastered,XBOX,Sports,2012/05/16,40.4,5.9,1.452
25741,Final Nexus III,xbox,MOBA,12-20-2008,15.93,6.0,1.067
41963,Eternal Uprising HD,PC,RPG,2021/12/11,11.7,7.8,1.911
40628,Iron Chronicles Online,Xbox,MOBA,2014-09-23,44.86,4.3,1.172
18391,Silent Saga: Remastered,PS,MOBA,01.01.2013,22.36,4.9,1.007
42035,Rogue Legends HD,mobile,Action,2017-11-10,41.66,7.2,0.057
1660,Neon Dominion II,playstation,Racing,14/12/2024,59.28,6.5,0.499
7692,Golden Odyssey III,SWITCH,Adventure,03.03.2005,66.3,8.1,0.54
47282,Rogue Frontier: Origins,switch,Puzzle,2005-01-26,76.16,6.4,0.249
47525,Steel Kingdom HD,XBOX,Racing,01-17-2022,34.54,9.0,0.882
40745,Lost Odyssey,SWITCH,Simulation,2024-02-28,23.44,,2.071
40797,SILENT REQUIEM HD,XBOX,Sports,09-19-2021,49.19,7.0,0.293
23119,Wild Kingdom HD,Xbox,Puzzle,2006/12/20,73.93,8.6,0.225
17956,Broken Empire II,Pc,Sports,2008/09/01,26.03,6.2,1.364
4187,Mystic Frontier,PC ,Simulation,16.04.2007,60.14,7.3,0.495
5446,iron vortex,playstation,Action,27/02/2006,62.19,5.7,0.905
39918,Steel Chronicles HD,xbox,Simulation,06/01/2005,52.36,6.7,0.283
32824,Eternal Dominion: Origins,Pc,Strategy,2016-11-10,22.38,8.5,0.37
37516,Frozen Requiem Online,Switch,MOBA,2012/09/20,22.01,9.5,0.367
37749,rogue dynasty hd,PC ,MOBA,28/08/2017,30.6,6.0,1.466
27560,Rising Chronicles Online,PC ,Puzzle,2020-11-04,17.4,7.5,0.688
13706,Rogue Saga Online,iOS/Android,Adventure,2007-08-01,32.07,4.8,0.264
26444,Golden Storm HD,XBOX,Shooter,09-12-2012,38.51,5.2,0.356
2704,Rogue Saga: Origins,switch,Adventure,2012-04-26,45.59,6.8,0.615
18215,Wild Saga,XBOX,Shooter,09/11/2016,45.79,5.5,2.462
9206,Lost Odyssey HD,mobile,Racing,07/12/2017,14.73,8.7,0.021
49867,Shadow Saga II,SWITCH,Sports,02/02/2011,63.83,6.3,0.814
27140,Rising Empire II,pc,Simulation,30/05/2020,48.68,5.5,1.079
38678,Iron Storm II,Switch,MOBA,2017-01-26,9.55,,0.022
14508,Lost Nexus: Origins,P.C.,MOBA,2009-12-28,24.97,5.1,1.902
4719,Hidden Warfare III,Xbox ,RPG,09-26-2020,38.1,7.1,0.57
17287,Broken Quest,mobile,MOBA,2006/08/07,13.64,7.3,1.685
35761,Rising Dynasty HD,iOS/Android,Simulation,09-19-2006,25.41,5.3,0.057
31109,Final Uprising Online,Xbox,RPG,2019-01-15,68.58,8.0,0.781
47599,Wild Frontier II,playstation,Simulation,04.05.2017,36.3,7.9,0.366
36153,lost kingdom,playstation,Shooter,25/11/2007,61.02,7.2,2.165
24,Lost Horizon: Origins,mobile,MOBA,2019/10/18,61.39,8.1,0.215
49779,Broken Storm: Origins,PS,Racing,31.08.2020,52.02,8.8,0.08
35028,frozen kingdom,pc,Puzzle,2021/12/11,60.55,7.3,0.172
2003,Dark Vortex: Remastered,Mobile ,Simulation,2019/01/26,55.17,6.4,1.92
28118,Frozen Kingdom,Xbox ,Strategy,2007-04-18,11.7,8.2,0.053
46010,Iron Dominion,Mobile ,RPG,07-21-2013,42.88,10.0,0.405
28056,SAVAGE FRONTIER: ORIGINS,pc,Simulation,07.03.2024,8.17,8.7,0.007
9782,Wild Frontier: Origins,Mobile ,Simulation,09/12/2019,69.36,7.8,0.822
45996,Mystic Frontier,PS,MOBA,27/01/2015,68.21,9.3,0.098
43333,LOST HORIZON III,SWITCH,Sports,2020/02/20,8.62,4.6,0.438
48319,Shadow Legacy,Mobile ,Racing,27/01/2018,50.18,6.3,0.677
41668,Lost Nexus Online,Pc,Adventure,25.08.2023,46.71,7.0,0.736
23381,Frozen Rebellion,switch,Action,03-29-2016,35.23,8.5,1.675
20298,Savage Uprising III,pc,Puzzle,06-22-2012,38.43,6.8,0.047
37270,MYSTIC CHRONICLES,switch,RPG,29/04/2017,70.75,8.0,1.143
32592,Broken Chronicles Online,SWITCH,Shooter,2018-12-21,23.38,5.7,0.857
46013,Mystic Requiem Online,PC ,Racing,2014/09/11,77.01,6.2,0.503
8961,Steel Chronicles HD,Xbox ,RPG,2010-08-30,59.2,6.4,0.301
24595,Iron Storm II,,Simulation,11-19-2006,30.64,7.0,1.143
3229,NEON REQUIEM II,Pc,RPG,2009-06-21,5.0,5.4,0.459
26707,Lost Storm,Playstation ,Adventure,,29.09,8.2,0.986
9210,Savage Horizon HD,Mobile,Sports,28.03.2014,19.18,7.8,1.526
21502,Lost Dominion Online,Switch,MOBA,2019-12-23,42.12,8.7,1.293
9896,Eternal Dominion,P.C.,MOBA,,58.53,6.9,0.354
46691,Rising Legends: Origins,,Adventure,10.07.2005,39.44,7.0,0.749
2611,WILD LEGENDS II,Switch,Adventure,2008-01-04,7.33,6.1,0.009
20409,Hidden Frontier,PC,Shooter,2012/01/05,38.08,6.5,1.829
26702,Savage Frontier,PC,Action,21.06.2018,57.02,5.3,1.058
6998,Dark Dominion: Origins,Pc,RPG,05-30-2005,5.99,7.8,1.643
44673,Iron Storm II,Nintendo Switch,Racing,22/07/2010,27.99,4.9,0.062
31352,crimson empire,playstation,MOBA,2018-07-08,26.51,6.8,1.858
3630,SHADOW VORTEX HD,iOS/Android,RPG,02-16-2021,69.31,7.8,1.218
12192,silent storm,Switch,RPG,2013/02/27,11.02,4.9,0.225
14641,Crimson Uprising: Reborn,Playstation ,Simulation,21/06/2016,29.03,9.5,0.067
6974,Crimson Dominion HD,Nintendo Switch,Sports,2010/05/03,57.66,8.6,3.402
25735,Golden Horizon: Origins,Switch,,23.11.2005,46.79,7.7,0.413
7457,Rogue Realm III,Mobile,Sports,02-25-2021,67.27,5.9,1.354
40629,Shadow Horizon,Mobile ,Adventure,2016-07-19,72.24,7.0,0.095
39081,dark warfare: reborn,Mobile ,RPG,31.07.2007,40.0,9.1,0.02
33197,Iron Dynasty: Remastered,XBOX,RPG,20.11.2016,52.04,5.3,0.718
25669,Dark Quest III,switch,RPG,2008/04/02,16.19,7.5,0.198
45670,Wild Chronicles,Xbox,Strategy,20/11/2011,51.83,9.1,1.157
27998,,iOS/Android,RPG,27.02.2007,18.74,,163.079
40147,Dark Odyssey,P.C.,Racing,26/03/2012,37.44,6.3,0.104
35958,Steel Legends,Nintendo Switch,Adventure,22/11/2005,27.83,5.5,0.332
38547,iron rebellion: origins,XBOX,Racing,11-05-2015,26.37,3.6,0.163
7572,Golden Dynasty,Mobile ,Action,2010/02/05,20.78,7.0,0.374
41261,BROKEN REBELLION,Xbox,Adventure,29/10/2005,59.87,10.0,0.188
13083,Silent Warfare: Remastered,Xbox ,Sports,08.12.2006,63.18,9.3,1.191
43728,Rogue Quest II,mobile,Racing,18/04/2010,66.69,9.4,0.965
41679,Golden Requiem HD,Mobile,Action,2024-06-10,70.14,9.4,0.135
36310,ancient dominion,Mobile ,Puzzle,08/05/2012,41.5,8.1,
3128,FINAL CHRONICLES: REMASTERED,Nintendo Switch,Sports,2016-06-11,32.01,5.5,2.57
44313,Hidden Legends,P.C.,Racing,2021-06-03,26.99,7.8,0.501
39025,Golden Dominion,XBOX,Adventure,2019/08/09,39.01,6.8,0.335
2947,Final Dynasty II,switch,Sports,19/04/2006,58.3,6.4,1.513
872,Golden Uprising: Remastered,switch,MOBA,2023/01/27,69.87,7.3,1.005
41768,Frozen Realm,XBOX,RPG,2007-06-30,13.1,8.3,0.282
6731,mystic dominion,mobile,Puzzle,2018-07-17,48.91,7.2,0.28
28859,Frozen Kingdom,P.C.,Sports,2008-11-25,61.64,6.1,2.898
9112,Broken Nexus,PC,RPG,21.09.2020,37.59,3.9,1.857
16079,Savage Kingdom II,Playstation ,Racing,11.01.2009,43.14,,0.088
33126,Steel Dynasty: Reborn,SWITCH,MOBA,2015-06-24,29.2,9.7,0.152
39848,MYSTIC FRONTIER HD,iOS/Android,Racing,23.12.2023,13.0,7.0,0.649
39423,Dark Storm II,Pc,Simulation,2009/09/06,49.35,6.6,1.542
36572,Silent Dominion: Reborn,Mobile ,Puzzle,2019/01/05,70.28,5.9,1.629
14830,Wild Odyssey III,Xbox ,Racing,05/02/2005,55.23,5.7,0.422
19872,Eternal Warfare III,Pc,Simulation,27/06/2007,54.21,9.1,0.216
14623,Final Odyssey,iOS/Android,Adventure,2011-03-03,66.34,9.5,0.442
16134,MYSTIC DYNASTY II,switch,RPG,2012/07/25,60.51,8.5,0.251
22728,Broken Uprising,Xbox ,Puzzle,2008-06-01,42.02,7.4,0.068
32617,Savage Chronicles III,Pc,MOBA,30.07.2014,68.65,5.1,0.13
5266,Neon Horizon: Remastered,iOS/Android,Puzzle,05-19-2020,10.26,4.2,0.147
14049,Frozen Rebellion III,Nintendo Switch,Shooter,11-14-2006,21.73,6.7,0.584
32393,Wild Odyssey,mobile,Adventure,19.12.2011,1500.0,7.5,0.082
19879,Lost Chronicles Online,xbox,MOBA,13.03.2021,49.65,7.6,0.28
6797,NEON STORM: ORIGINS,SWITCH,Sports,2015-01-12,55.17,7.8,0.443
3279,Lost Horizon II,Playstation ,Strategy,03.09.2015,49.44,9.0,1.287
48545,FINAL QUEST HD,Xbox,Sports,11.04.2014,12.33,5.3,0.723
35009,Lost Rebellion Online,iOS/Android,RPG,08-27-2016,20.69,7.4,2.95
10743,Wild Frontier: Remastered,PS,RPG,2018/11/04,27.8,8.2,0.386
959,Neon Rebellion HD,SWITCH,Adventure,15.08.2020,36.63,5.9,0.189
39333,Ancient Nexus HD,Nintendo Switch,Action,2009/12/25,16.39,7.7,0.513
7036,Final Vortex: Remastered,Mobile,Racing,01-04-2010,59.98,9.3,0.349
32179,Frozen Empire: Remastered,PlayStation,Shooter,2016-03-04,74.46,7.3,0.209
26526,Silent Empire: Reborn,mobile,Adventure,07.09.2023,13.78,,0.493
42702,Crimson Quest: Reborn,Switch,Simulation,17.08.2013,66.13,8.6,1.729
4736,Dark Kingdom: Remastered,xbox,Sports,01-07-2017,29.11,6.5,0.135
25314,,PS,Adventure,23.10.2016,38.27,6.2,0.71
26416,ANCIENT FRONTIER ONLINE,Playstation ,Racing,2020/06/11,58.24,5.3,0.355
967,Steel Empire: Remastered,Mobile,Sports,07-11-2010,66.59,7.5,0.213
29266,Wild Saga,Xbox,Shooter,2011/03/13,18.89,5.9,0.805
31473,Wild Nexus: Origins,Pc,Sports,2008-04-29,67.58,7.0,0.585
7941,Dark Chronicles,playstation,MOBA,2017/01/28,48.52,7.3,0.044
13009,Dark Chronicles,Mobile,MOBA,2011/02/11,22.15,7.0,1.11
